100 1000
2 38 20
30 74 18
77 69 82
86 93 36
78 51 89
72 70 34
59 17 91
78 39 44
36 88 22
22 91 24
14 43 69
50 39 43
60 95 72
75 56 9
24 97 56
94 55 6
60 35 23
31 28 28
7 51 42
0 34 82
40 12 99
11 58 60
60 96 83
66 18 19
12 64 30
56 47 3
45 56 11
33 30 8
74 38 30
7 10 73
78 93 16
28 76 41
54 67 39
92 38 14
40 88 41
85 44 61
74 69 45
27 95 48
19 41 57
88 97 21
50 24 69
59 39 23
54 43 19
97 60 38
28 98 12
41 28 3
50 11 60
33 93 3
56 63 65
97 2 51
62 42 93
80 19 44
36 95 36
20 48 75
96 78 69
33 70 2
77 21 86
98 98 36
86 4 94
29 32 65
5 78 96
49 79 66
92 14 52
95 19 9
51 45 77
21 1 97
10 85 74
94 78 94
65 7 22
10 47 46
53 19 30
59 70 62
31 76 50
23 2 47
67 5 41
74 6 3
67 34 21
95 84 95
7 83 57
62 41 21
62 6 72
89 97 74
32 99 55
6 12 60
40 31 0
99 55 52
91 55 3
4 64 46
2 61 51
32 3 99
96 69 19
57 82 19
24 91 3
42 64 11
63 33 60
5 71 95
86 46 77
29 92 56
48 68 26
76 74 44
45 25 41
52 7 12
29 90 0
10 54 55
1 96 24
1 14 78
86 72 34
14 0 79
50 99 3
43 6 56
8 31 72
15 70 67
4 64 6
5 27 12
91 28 96
75 7 51
55 62 63
45 43 44
6 76 23
69 5 54
72 97 30
6 4 42
98 73 55
24 48 55
60 20 85
23 48 38
99 29 33
94 91 21
71 74 76
0 31 47
58 21 35
93 2 90
63 40 5
72 64 34
79 51 2
84 52 68
33 24 94
98 15 1
76 95 86
87 23 67
91 39 5
41 9 97
93 96 73
54 57 54
49 67 41
22 17 22
64 41 43
97 6 23
25 94 81
13 8 88
62 66 29
3 81 97
42 41 54
15 17 3
11 77 54
2 19 84
32 68 77
77 64 47
20 77 77
6 19 44
82 34 49
88 21 75
44 24 91
38 44 15
61 91 5
93 45 23
99 59 70
92 16 21
89 12 84
25 40 40
90 47 31
29 29 30
58 19 4
83 64 47
86 36 79
4 72 97
19 2 17
10 96 91
59 9 20
30 16 0
25 90 35
82 98 60
41 24 3
54 3 18
73 82 44
85 67 25
77 61 15
9 58 77
97 0 93
91 43 44
70 7 9
57 84 99
47 35 91
89 87 22
55 92 73
75 8 97
64 10 30
15 32 9
64 3 70
3 48 68
36 95 1
53 39 84
97 20 99
88 82 92
38 5 90
14 32 68
65 17 28
23 73 72
66 37 83
59 12 35
33 60 72
10 50 87
50 49 19
63 2 56
70 50 8
18 41 76
68 29 17
33 52 97
37 49 78
30 74 28
73 90 78
86 79 60
57 0 66
28 90 53
45 76 49
33 11 36
21 26 55
